register_pair,successful_simulations,total_simulations,success_rate,success_rate_percent
rf_reg[17] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[18] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[19] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[20] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[21] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[22] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[23] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[24] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
alu_operand_c_ex_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[25] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[26] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[27] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[28] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[29] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[30] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rf_reg[31] + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
rs1_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
data_we_q_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
check_d_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
check_s1_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
check_s2_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
is_store_post_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
pc_id_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
memory_set_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
pc_if_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
register_set_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
store_dest_addr_ex_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
store_source_ex_o_tag + tcr_load_store/hc_o,28,532,0.05263157894736842,5.263157894736842
pc_if_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
pc_id_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
sd_o_5 + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
alu_operator_o_mode/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
store_dest_addr_ex_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
store_source_ex_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
tcr_load_store/hc_o + use_store_ops_ex_o/sd_o,14,266,0.05263157894736842,5.263157894736842
alu_operand_a_ex_o_tag/sd_o + tcr_load_store/hc_o,14,266,0.05263157894736842,5.263157894736842
