register,successful_simulations,total_simulations,success_rate,success_rate_percent
csr_group13/hc_o,245,80504,0.003043327039650204,0.3043327039650204
csr_group0/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group1/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group2/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group3/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group4/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group5/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group6/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group7/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group8/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group9/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group10/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group11/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
csr_group16/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
lsu_group2/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
lsu_group3/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
lsu_group4/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
lsu_group5/hc_o,242,80504,0.0030060618105932626,0.30060618105932624
alu_operator_o_mode/sd_o,58,19416,0.0029872270292542235,0.29872270292542236
id_group6/hc_o,236,80504,0.0029315313524793797,0.29315313524793796
id_group7/hc_o,236,80504,0.0029315313524793797,0.29315313524793796
lsu_group1/hc_o,236,80504,0.0029315313524793797,0.29315313524793796
id_group8/hc_o,232,80504,0.002881844380403458,0.2881844380403458
csr_group14/hc_o,122,42592,0.002864387678437265,0.2864387678437265
csr_group18/hc_o,122,42592,0.002864387678437265,0.2864387678437265
sp_o_32,21,7336,0.0028625954198473282,0.2862595419847328
csr_group17/hc_o,226,80504,0.0028073139222895755,0.28073139222895754
id_group9/hc_o,119,42592,0.0027939519158527424,0.27939519158527426
csr_group19/hc_o,116,42592,0.0027235161532682193,0.27235161532682195
sd_o_rf_tag,112,44600,0.0025112107623318385,0.25112107623318386
store_dest_addr_ex_o_tag/sd_o,48,19416,0.002472187886279357,0.2472187886279357
