register_pair,successful_simulations,total_simulations,success_rate,success_rate_percent
alu_operand_c_ex_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[24] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[25] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[26] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[27] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[28] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[29] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[30] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rf_reg[31] + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
rs1_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
data_we_q_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
check_d_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
check_s1_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
check_s2_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
pc_id_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
is_store_post_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
memory_set_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
pc_if_o_tag + tcr_load_store/hc_o,28,304,0.09210526315789473,9.210526315789473
pc_if_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
pc_id_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
sd_o_5 + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
alu_operator_o_mode/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
store_dest_addr_ex_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
store_source_ex_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + use_store_ops_ex_o/sd_o,14,152,0.09210526315789473,9.210526315789473
alu_operand_a_ex_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
alu_operand_b_ex_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
alu_operand_c_ex_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
check_s1_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
check_s2_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
check_d_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
register_set_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
is_store_post_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
memory_set_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
sd_o_rf_tag + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
rs1_o_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tpr_arith/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tpr_branch/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tpr_jump/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tpr_shift/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tpr_comparison/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tpr_logical/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tpr_load_store_mode/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tpr_load_store_enable/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_arith/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
tcr_branch/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
tcr_jump/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tcr_shift/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_comparison/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
tcr_load_store/hc_o + tcr_logical/sd_o,14,152,0.09210526315789473,9.210526315789473
tcr_execute/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
data_we_q_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
rdata_offset_q_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
data_type_q_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
rdata_q_tag/sd_o + tcr_load_store/hc_o,14,152,0.09210526315789473,9.210526315789473
csr_group20/hc_o + id_group6/hc_o,55,608,0.09046052631578948,9.046052631578947
alu_operand_b_ex_o_tag/hc_o + tcr_load_store/hc_o,54,608,0.08881578947368421,8.881578947368421
csr_group20/hc_o + id_group7/hc_o,54,608,0.08881578947368421,8.881578947368421
csr_group20/hc_o + id_group8/hc_o,54,608,0.08881578947368421,8.881578947368421
csr_group20/hc_o + lsu_group1/hc_o,54,608,0.08881578947368421,8.881578947368421
csr_group20/hc_o + data_type_q_tag,28,320,0.0875,8.75
csr_group20/hc_o + rdata_offset_q_tag,28,320,0.0875,8.75
alu_operator_o_mode + csr_group20/hc_o,28,320,0.0875,8.75
csr_group20/hc_o + id_group9/hc_o,28,320,0.0875,8.75
csr_group14/hc_o + csr_group20/hc_o,28,320,0.0875,8.75
