register,successful_simulations,total_simulations,success_rate,success_rate_percent
tcr_execute/hc_o,4684,61404,0.07628167546088203,7.6281675460882035
rf_reg[1],1281,68892,0.018594321546768856,1.8594321546768857
csr_group12/hc_o,1060,60378,0.017556063466825665,1.7556063466825664
csr_group15/hc_o,1058,60378,0.01752293881877505,1.752293881877505
tpr_load_store_enable/hc_o,970,55572,0.01745483336932268,1.745483336932268
tpr_load_store_mode/hc_o,968,55572,0.01741884402216944,1.741884402216944
memory_set_o_tag/hc_o,932,54312,0.017160111945794667,1.7160111945794667
pc_if_o_tag/hc_o,922,54312,0.01697599057298571,1.697599057298571
id_group9/hc_o,537,31944,0.016810668670172804,1.6810668670172804
tpr/hc_o_32,6181,420300,0.014706162265048775,1.4706162265048774
tcr/hc_o_32,5656,420300,0.013457054484891744,1.3457054484891744
if_stage/hc_o,1018,99108,0.010271622876054405,1.0271622876054405
memory_set_o_tag,705,68892,0.010233408813795506,1.0233408813795506
pc_if_o_tag,467,68892,0.006778726122046101,0.6778726122046101
lsu_reg/hc_o,224,35292,0.006347047489516038,0.6347047489516038
id_stage/hc_o,745,132330,0.005629864732109121,0.5629864732109121
hc_o_26,654,126594,0.005166121617138253,0.5166121617138253
hc_o_rf_tag,5746,1474944,0.0038957411264427667,0.38957411264427666
tpr_q,1343,405504,0.0033119278724747475,0.33119278724747475
regfile_alu_waddr_ex_o_tag,2734,880764,0.0031041232384611543,0.31041232384611545
tcr_q,1217,405504,0.0030012034406565655,0.3001203440656566
rdata_q_tag,1351,479424,0.0028179648912027766,0.28179648912027766
ex_stage/hc_o,57,20520,0.002777777777777778,0.2777777777777778
rf_reg[4],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[5],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[7],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[10],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[11],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[12],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[14],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[17],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[18],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[21],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[23],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[24],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[26],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[29],177,68892,0.0025692388085699356,0.2569238808569936
rf_reg[6],172,68892,0.0024966614410962084,0.24966614410962085
rf_reg[13],172,68892,0.0024966614410962084,0.24966614410962085
rf_reg[16],172,68892,0.0024966614410962084,0.24966614410962085
rf_reg[19],172,68892,0.0024966614410962084,0.24966614410962085
rf_reg[20],172,68892,0.0024966614410962084,0.24966614410962085
rf_reg[22],172,68892,0.0024966614410962084,0.24966614410962085
rf_reg[25],172,68892,0.0024966614410962084,0.24966614410962085
rf_reg[28],172,68892,0.0024966614410962084,0.24966614410962085
rf_reg[31],172,68892,0.0024966614410962084,0.24966614410962085
rf_reg[8],170,68892,0.002467630494106718,0.2467630494106718
rf_reg[27],169,68892,0.0024531150206119723,0.24531150206119723
pc_id_o_tag,168,68892,0.002438599547117227,0.2438599547117227
rf_reg[3],168,68892,0.002438599547117227,0.2438599547117227
rf_reg[15],168,68892,0.002438599547117227,0.2438599547117227
rf_reg[30],168,68892,0.002438599547117227,0.2438599547117227
is_store_post_o_tag,164,68892,0.002380537653138245,0.23805376531382452
check_s2_o_tag,162,68892,0.0023515067061487547,0.23515067061487546
alu_operator_o_mode,321,137136,0.0023407420371018553,0.23407420371018553
check_s1_o_tag,161,68892,0.002336991232654009,0.2336991232654009
register_set_o_tag,161,68892,0.002336991232654009,0.2336991232654009
rf_reg[2],161,68892,0.002336991232654009,0.2336991232654009
data_we_q_tag,161,68892,0.002336991232654009,0.2336991232654009
alu_operand_c_ex_o_tag,160,68892,0.0023224757591592637,0.23224757591592637
store_dest_addr_ex_o_tag,160,68892,0.0023224757591592637,0.23224757591592637
store_source_ex_o_tag,160,68892,0.0023224757591592637,0.23224757591592637
use_store_ops_ex_o,160,68892,0.0023224757591592637,0.23224757591592637
alu_operand_b_ex_o_tag,158,68892,0.002293444812169773,0.2293444812169773
data_type_q_tag,313,137136,0.0022824057869560146,0.22824057869560146
check_d_o_tag,157,68892,0.0022789293386750275,0.22789293386750276
rs1_o_tag,157,68892,0.0022789293386750275,0.22789293386750276
rdata_offset_q_tag,312,137136,0.0022751137556877845,0.22751137556877846
hc_o_5,589,260208,0.0022635737563795116,0.22635737563795116
rf_reg[9],152,68892,0.0022063519712013004,0.22063519712013005
rf_reg[0],148,68892,0.002148290077222319,0.2148290077222319
alu_operand_a_ex_o_tag,138,68892,0.002003135342274865,0.20031353422748652
alu_operator_o_mode/hc_o,202,102456,0.0019715780432575936,0.19715780432575936
rdata_offset_q_tag/hc_o,202,102456,0.0019715780432575936,0.19715780432575936
data_type_q_tag/hc_o,202,102456,0.0019715780432575936,0.19715780432575936
rdata_q_tag/hc_o,202,102456,0.0019715780432575936,0.19715780432575936
