register,use_case,configuration,fault_model,successes,total_simulations,success_rate_percent
/tb/top_i/core_region_i/RISCV_CORE/if_stage_i/pc_id_o_tag,buffer_overflow,Baseline,single_bitflip_spatial,7,756,0.925926
/tb/top_i/core_region_i/RISCV_CORE/if_stage_i/pc_id_o_tag,buffer_overflow,Baseline,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/if_stage_i/pc_id_o_tag,buffer_overflow,Baseline,multi_bitflip_reg_multi,5,1848,0.270563
/tb/top_i/core_region_i/RISCV_CORE/if_stage_i/pc_id_o_tag,buffer_overflow,SECDED Strategy 5,single_bitflip_spatial,0,1674,0.000000
/tb/top_i/core_region_i/RISCV_CORE/if_stage_i/pc_id_o_tag,buffer_overflow,SECDED Strategy 5,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/if_stage_i/pc_id_o_tag,buffer_overflow,SECDED Strategy 5,multi_bitflip_reg_multi,2,6912,0.028935
