register,use_case,configuration,fault_model,successes,total_simulations,success_rate_percent
/tb/top_i/core_region_i/RISCV_CORE/cs_registers_i/secded_encoder_csr_group20/sd_o,buffer_overflow,SECDED Strategy 5,single_bitflip_spatial,0,1674,0.000000
/tb/top_i/core_region_i/RISCV_CORE/cs_registers_i/secded_encoder_csr_group20/sd_o,buffer_overflow,SECDED Strategy 5,multi_bitflip_reg,0,12,0.000000
/tb/top_i/core_region_i/RISCV_CORE/cs_registers_i/secded_encoder_csr_group20/sd_o,buffer_overflow,SECDED Strategy 5,multi_bitflip_reg_multi,0,6912,0.000000
