register,use_case,configuration,fault_model,successes,total_simulations,success_rate_percent
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/memory_set_o_tag,secretFunction,Baseline,single_bitflip_spatial,26,1008,2.579365
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/memory_set_o_tag,secretFunction,Baseline,multi_bitflip_reg,0,16,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/memory_set_o_tag,secretFunction,Baseline,multi_bitflip_reg_multi,24,2464,0.974026
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/memory_set_o_tag,secretFunction,SECDED Strategy 5,single_bitflip_spatial,0,2232,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/memory_set_o_tag,secretFunction,SECDED Strategy 5,multi_bitflip_reg,0,16,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/memory_set_o_tag,secretFunction,SECDED Strategy 5,multi_bitflip_reg_multi,4,9216,0.043403
