register,use_case,configuration,fault_model,successes,total_simulations,success_rate_percent
/tb/top_i/core_region_i/RISCV_CORE/ex_stage_i/rs1_o_tag,secretFunction,Baseline,single_bitflip_spatial,23,1008,2.281746
/tb/top_i/core_region_i/RISCV_CORE/ex_stage_i/rs1_o_tag,secretFunction,Baseline,multi_bitflip_reg,0,16,0.000000
/tb/top_i/core_region_i/RISCV_CORE/ex_stage_i/rs1_o_tag,secretFunction,Baseline,multi_bitflip_reg_multi,26,2464,1.055195
/tb/top_i/core_region_i/RISCV_CORE/ex_stage_i/rs1_o_tag,secretFunction,SECDED Strategy 5,single_bitflip_spatial,0,2232,0.000000
/tb/top_i/core_region_i/RISCV_CORE/ex_stage_i/rs1_o_tag,secretFunction,SECDED Strategy 5,multi_bitflip_reg,0,16,0.000000
/tb/top_i/core_region_i/RISCV_CORE/ex_stage_i/rs1_o_tag,secretFunction,SECDED Strategy 5,multi_bitflip_reg_multi,4,9216,0.043403
