register,use_case,configuration,fault_model,successes,total_simulations,success_rate_percent
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/secded_encoder_id_group9/hc_o,secretFunction,SECDED Strategy 5,single_bitflip_spatial,0,4456,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/secded_encoder_id_group9/hc_o,secretFunction,SECDED Strategy 5,multi_bitflip_reg,0,32,0.000000
/tb/top_i/core_region_i/RISCV_CORE/id_stage_i/secded_encoder_id_group9/hc_o,secretFunction,SECDED Strategy 5,multi_bitflip_reg_multi,6,18368,0.032666
